A001_01;A002;A003;A004;A004_01;A004_02;A004_03;A004_04;A004_05;A004_06;A005;A006;A101_01;A101_02;A101_03;A101_04;A102_01;A102_02;A102_03;A102_04;A102_05;A103_01;A103_02;A103_03;A103_04;A103_05;A104_01;A104_02;A104_03;A201_01;A201_02;A201_03;A201_04;A201_05;A202_01;A202_02;A202_03;A202_04;A202_05;A204_01;A204_02;A204_03;A204_04;A204_05;A205_01;A205_02;A205_03;A205_04;A205_05;A206_CP;A206;A207_CP;A207;A208_CP;A208
28;2;6;3;2;2;2;1;1;1;1;1;3;5;4;3;5;3;2;2;3;4;4;4;4;4;4;4;4;4;4;5;3;5;4;4;4;5;4;4;4;4;5;4;4;3;4;3;5;112;2;96;3;93;1
26;1;6;2;2;2;1;1;1;1;1;1;3;1;4;5;5;5;3;5;6;1;5;3;3;3;5;4;4;4;4;5;4;4;4;5;4;4;5;3;5;5;4;4;2;4;4;4;6;116;2;100;3;97;2
27;2;6;2;2;2;1;1;1;1;1;1;6;6;5;4;6;4;4;5;3;4;4;4;4;4;4;4;3;4;4;4;4;4;6;4;4;5;4;2;5;2;4;5;4;5;4;4;4;113;2;97;4;94;1
24;2;6;3;2;1;1;2;1;2;1;1;3;3;3;5;4;2;4;6;6;3;4;2;5;4;2;3;3;3;5;5;5;5;2;4;3;4;4;5;6;6;5;5;2;4;4;4;3;115;1;98;4;95;2
26;1;6;2;2;2;1;1;1;1;1;1;2;3;2;3;3;1;2;2;1;3;2;3;3;2;2;2;3;4;6;5;6;4;4;4;4;4;4;4;5;4;4;4;4;4;5;4;5;114;2;99;3;96;1
26;1;6;2;1;2;2;1;1;1;1;1;5;4;5;5;3;1;1;3;3;1;1;2;3;2;3;3;2;5;5;5;4;5;2;2;3;1;3;3;3;3;2;3;3;3;3;3;3;115;2;99;4;96;2
26;1;6;3;2;2;2;1;1;1;1;1;5;5;5;5;4;3;3;3;3;5;5;5;5;5;3;3;3;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;116;1;100;4;97;1
24;2;6;2;2;1;2;1;1;1;1;1;6;5;5;5;4;2;2;4;5;3;2;1;6;5;3;4;5;5;6;5;1;5;3;6;2;6;5;6;7;6;5;3;6;6;6;5;6;117;1;101;3;98;1
26;2;6;4;2;2;2;1;2;1;1;1;5;2;4;5;6;1;2;3;2;1;3;3;4;3;3;1;2;5;2;5;2;2;4;2;3;2;1;5;6;6;4;4;4;3;2;4;3;118;1;102;4;100;2
23;2;4;3;2;2;2;1;1;1;2;1;4;4;4;4;4;4;4;3;3;4;4;6;5;4;4;4;4;4;4;4;4;4;4;5;4;4;4;5;4;4;4;5;4;4;4;4;3;120;1;104;3;102;1
22;2;2;2;2;2;1;1;1;1;1;1;4;6;5;4;5;3;2;3;3;2;2;2;6;6;4;4;4;5;5;5;5;5;3;3;3;3;3;3;3;2;2;3;3;3;3;3;3;120;2;103;4;101;2
17;1;2;2;2;1;1;1;2;1;1;1;2;5;3;4;5;2;2;4;5;4;3;3;3;4;4;4;5;6;6;1;5;6;6;3;4;4;3;6;6;4;5;5;3;4;4;4;5;119;1;103;3;100;1
18;2;2;2;1;2;1;1;2;1;1;1;3;5;3;4;6;3;3;5;3;4;5;4;5;5;2;5;2;6;7;6;5;6;2;3;5;3;3;5;5;5;5;6;5;5;5;5;5;119;2;104;4;101;1
22;2;6;3;2;2;1;2;1;1;1;1;3;6;3;5;6;1;1;5;1;2;5;5;5;2;1;2;2;3;1;4;2;3;6;6;4;3;5;3;6;5;5;3;4;3;1;3;3;121;1;105;3;103;2
27;2;6;5;2;2;2;2;1;2;1;1;4;7;4;5;4;2;2;6;4;2;4;3;6;2;3;2;3;6;5;5;5;5;6;4;4;3;4;5;5;5;4;4;3;4;4;4;4;122;1;106;3;104;2
27;2;6;2;1;2;1;2;1;1;1;1;5;5;4;4;4;2;1;5;5;1;1;1;1;1;1;1;1;4;4;3;3;3;4;1;1;1;1;2;6;2;1;6;1;4;3;4;1;123;1;107;4;105;2
27;2;6;3;2;2;2;1;1;1;1;1;2;3;5;2;3;1;1;1;2;1;1;1;2;2;1;1;1;5;5;5;4;5;5;5;5;5;5;3;4;4;4;4;5;5;5;5;5;125;2;109;4;107;2
27;2;6;2;1;2;2;1;1;1;1;1;3;5;5;6;4;2;1;5;2;1;2;1;2;3;2;1;1;6;4;5;3;5;3;3;4;4;4;6;6;4;5;5;5;4;5;4;5;124;1;108;3;106;1
28;2;6;2;2;2;1;1;1;1;3;1;5;7;5;5;4;3;4;4;2;1;1;1;2;2;1;2;1;3;2;4;3;2;2;1;2;1;1;1;3;2;2;2;1;2;2;4;1;125;1;108;4;106;2
32;1;6;2;2;2;1;1;1;1;2;1;5;7;5;5;6;4;5;3;2;4;4;4;5;5;4;3;4;6;4;5;4;5;4;6;6;6;6;5;6;6;6;6;6;6;6;6;6;126;2;110;3;108;1
31;2;6;3;2;2;2;1;1;1;4;1;4;6;4;5;2;2;2;2;2;3;3;2;1;2;4;3;3;5;5;6;4;5;5;5;5;5;5;4;5;5;5;3;5;6;5;4;7;126;1;110;4;108;2
30;2;6;3;2;2;2;1;1;1;1;1;4;6;5;5;6;2;2;2;2;1;3;1;2;2;1;1;1;4;4;4;3;4;4;2;4;3;4;2;4;4;4;4;3;4;4;4;2;127;2;111;4;109;2
26;1;6;1;2;1;1;1;1;1;2;1;5;5;5;5;4;3;3;5;5;4;5;5;5;6;4;4;4;6;6;5;6;6;5;5;5;5;6;6;6;6;6;6;5;5;5;6;5;127;1;111;3;109;1
33;2;6;2;2;1;1;1;1;2;3;1;4;3;3;3;3;2;2;4;2;6;5;5;4;4;1;1;2;4;4;4;4;3;5;5;5;5;5;1;3;4;4;2;1;4;4;4;4;128;1;112;3;110;2
32;2;6;1;1;1;1;1;2;1;3;1;4;6;5;5;6;3;4;4;5;4;6;6;4;6;6;6;5;6;6;6;6;6;5;4;5;4;4;5;6;5;5;5;6;5;6;4;6;128;2;112;4;110;1
30;1;6;2;1;2;1;1;2;1;1;1;4;6;5;4;6;3;3;5;4;4;5;4;4;4;3;4;3;6;6;6;4;5;5;5;6;6;5;4;6;5;5;6;6;6;6;6;5;129;1;113;4;111;1
40;2;6;3;2;1;2;1;1;2;2;1;3;2;3;3;3;4;4;4;3;4;5;4;5;4;4;4;4;6;6;5;6;6;6;3;5;2;2;5;6;6;5;6;2;3;2;2;5;129;2;113;3;111;2
20;1;2;3;2;2;1;1;2;1;2;1;4;4;3;3;4;4;2;4;3;4;4;4;3;4;2;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;130;1;118;3;113;1
17;1;2;4;2;2;1;1;2;2;1;1;2;2;5;4;3;1;1;2;4;2;4;2;3;4;2;2;4;3;2;4;2;3;5;5;6;6;6;3;5;4;5;5;4;6;7;4;4;131;1;117;3;114;1
16;1;2;2;1;2;1;1;2;1;1;1;3;5;3;3;6;4;2;3;7;7;6;6;7;7;6;4;7;1;2;3;2;2;6;6;5;5;6;6;7;7;7;4;7;7;7;7;7;132;2;119;3;116;1
16;1;2;2;2;2;1;1;1;1;1;1;4;3;4;5;6;4;4;5;5;5;4;2;3;3;2;2;2;4;6;5;4;5;5;4;5;5;5;6;6;6;6;6;4;5;5;4;6;134;2;115;3;114;2
17;1;2;4;2;2;1;1;2;2;1;1;5;3;4;4;7;4;3;4;3;3;4;4;5;4;1;1;3;6;5;6;6;4;4;4;4;4;4;6;6;5;5;5;6;5;5;4;5;131;2;119;4;115;1
18;1;2;1;2;1;1;1;1;1;1;1;5;3;6;5;5;5;5;5;3;2;3;3;4;5;3;5;4;3;4;4;4;1;3;7;6;5;4;4;2;3;3;3;5;5;4;3;3;130;2;117;4;112;1
17;2;2;4;2;2;1;1;2;2;1;1;4;7;6;5;5;5;6;6;5;3;4;3;5;4;5;4;4;7;4;3;4;3;3;5;4;6;6;4;3;4;5;5;3;6;6;4;6;133;2;115;4;115;2
18;1;2;5;2;2;2;1;2;2;1;1;7;4;2;3;4;4;3;3;3;5;4;4;4;5;5;5;4;5;4;6;4;4;4;6;5;6;5;4;5;5;4;4;5;5;5;4;5;132;1;114;3;113;2
21;1;2;3;2;2;1;1;2;1;1;1;3;3;3;3;6;1;3;4;5;3;3;3;6;7;2;2;3;6;5;6;6;6;2;3;3;3;3;5;5;5;5;5;4;5;5;5;5;133;1;118;4;117;1
21;1;2;2;1;1;1;1;2;2;2;1;3;3;3;4;4;4;3;1;3;2;3;3;2;3;4;1;2;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;134;1;116;4;116;2
28;1;6;3;2;2;1;1;2;1;1;1;3;6;6;5;6;6;3;6;5;6;7;7;6;7;7;7;7;7;7;7;7;7;7;6;6;7;7;6;6;6;7;6;7;7;7;6;6;135;1;120;3;118;1
27;1;6;4;2;2;2;1;1;2;1;1;2;3;3;4;5;3;2;4;3;4;5;5;3;3;4;3;2;5;5;6;3;5;4;5;5;5;5;4;4;4;4;5;5;5;5;5;5;136;2;120;4;118;2
24;1;6;3;2;2;2;1;1;1;1;1;5;6;5;5;5;3;4;5;4;3;3;2;1;3;1;2;1;6;6;7;6;5;4;5;5;5;5;2;6;3;3;3;6;5;6;6;6;136;1;121;4;119;2
24;1;6;1;1;2;1;1;1;1;1;1;6;7;6;5;4;3;3;4;5;4;4;4;4;4;2;2;2;6;6;6;4;5;5;5;5;5;5;4;5;4;5;4;6;6;6;6;6;137;1;121;3;119;1
27;2;6;1;2;1;1;1;1;1;1;1;3;5;5;3;4;2;2;5;6;1;3;1;4;3;1;1;1;3;4;3;4;3;4;1;4;1;1;1;4;4;4;1;4;2;4;4;3;138;1;122;4;120;2
30;2;6;3;2;2;1;1;1;2;1;1;2;4;4;2;2;1;1;2;2;4;4;4;4;4;2;3;2;3;4;4;3;1;4;4;4;4;3;4;3;5;4;5;1;4;3;2;3;138;2;122;3;121;2
24;1;6;3;2;2;2;1;1;1;1;1;5;6;3;5;6;3;4;3;2;1;1;1;1;1;1;1;1;5;5;5;4;5;4;2;2;2;3;3;3;3;3;3;1;4;3;4;3;139;1;123;4;121;1
32;1;6;4;2;2;2;2;1;1;1;1;4;6;3;4;4;2;2;2;2;4;4;4;3;5;4;3;4;6;6;5;5;6;4;5;4;4;4;4;4;4;4;3;5;4;5;4;5;139;2;123;3;122;1
26;2;6;1;1;1;1;1;1;2;1;1;4;5;2;6;3;1;2;2;2;1;1;1;1;1;7;1;1;6;6;6;4;5;1;4;4;4;1;6;3;3;4;5;1;3;4;4;4;140;2;124;3;122;2
36;2;6;1;2;1;1;1;1;1;3;1;5;6;5;6;5;6;6;6;6;4;4;4;4;3;4;4;4;3;4;4;3;3;5;5;5;4;5;4;5;5;5;5;3;4;4;3;4;141;2;125;3;124;1
30;1;6;2;2;2;1;1;1;1;2;1;4;6;5;5;4;4;4;6;6;4;4;3;2;4;2;2;3;5;3;4;2;5;5;3;5;5;5;2;6;5;3;2;5;4;4;4;5;141;1;125;4;124;2
30;1;6;3;2;2;2;1;1;1;3;1;6;7;7;6;7;6;6;6;6;3;2;2;2;2;2;2;2;7;6;6;6;5;2;2;2;2;2;1;1;2;2;5;2;2;4;4;5;142;2;126;4;125;1
31;1;6;2;1;2;2;1;1;1;1;1;4;5;5;6;7;2;3;6;2;1;1;2;1;1;1;4;1;6;3;6;3;7;4;1;3;1;2;5;6;3;5;5;5;4;4;6;3;143;1;127;4;126;1
29;1;6;2;2;2;1;1;1;1;3;1;3;5;5;4;5;3;4;5;4;3;5;4;4;4;4;3;3;6;6;6;5;6;6;6;6;6;6;4;5;5;5;5;6;6;6;6;6;143;2;127;3;126;2
41;2;6;1;2;1;1;1;1;1;3;1;6;6;6;6;4;5;5;5;5;4;4;4;4;4;5;5;5;6;5;6;5;6;5;5;5;5;5;6;6;6;6;6;6;6;6;6;6;144;2;128;3;127;1
27;2;6;4;2;2;2;1;2;1;1;1;6;6;5;5;5;5;5;5;6;5;3;4;4;4;4;3;4;5;4;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;145;1;129;4;128;1
39;2;4;1;1;1;1;1;1;2;3;1;4;5;6;6;3;4;5;6;6;6;6;7;6;6;4;5;6;6;6;6;7;7;5;5;6;5;5;4;5;5;5;5;5;6;6;5;7;145;2;130;4;129;2
27;1;6;1;1;2;1;1;1;1;1;1;6;7;4;6;5;3;3;3;2;1;2;1;3;1;2;1;2;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;146;1;130;3;129;1
